Zip,Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country
96758,36,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States
90893,24,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
23168,48,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Other-service,Wife,White,Female,15,United-States
15921,37,Private,1st-4th,Married-spouse-absent,Farming-fishing,Other-relative,White,Male,77,Mexico
15532,67,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,35,United-States
61214,29,Private,Some-college,Never-married,Sales,Unmarried,White,Female,25,United-States
53488,47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,57,United-States
51669,24,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States
92245,54,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States
87744,48,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States
27469,25,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States
16391,54,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States
5267,49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
38586,46,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States
76349,29,State-gov,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States
47824,35,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
43253,48,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,25,United-States
3010,36,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,18,United-States
33457,26,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States
9234,42,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
95684,43,Private,HS-grad,Married-civ-spouse,Sales,Other-relative,White,Female,44,Poland
88486,34,Private,Bachelors,Never-married,Other-service,Not-in-family,White,Male,40,El-Salvador
11749,49,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States
49218,43,Federal-gov,Doctorate,Separated,Prof-specialty,Unmarried,Black,Female,24,United-States
28224,42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States
1869,57,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,60,United-States
52166,36,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
33944,18,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,25,United-States
80115,34,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,38,United-States
49560,40,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,United-States
80237,48,Private,HS-grad,Divorced,Other-service,Not-in-family,Black,Female,20,United-States
92169,33,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,44,United-States
9113,20,Private,Some-college,Never-married,Other-service,Own-child,White,Female,40,United-States
39657,30,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States
44372,29,Local-gov,HS-grad,Never-married,Protective-serv,Not-in-family,Black,Female,40,United-States
58362,43,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,48,United-States
68623,32,Private,HS-grad,Divorced,Adm-clerical,Own-child,Asian-Pac-Islander,Female,40,United-States
53183,25,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,35,United-States
98099,28,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,55,United-States
34703,27,Private,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,36,United-States
71322,20,Private,Some-college,Never-married,Other-service,Own-child,White,Female,15,United-States
46250,22,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,35,United-States
43701,42,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States
52489,19,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,20,United-States
6486,43,Private,HS-grad,Separated,Transport-moving,Not-in-family,White,Male,40,United-States
76487,18,Private,11th,Never-married,Other-service,Own-child,White,Female,20,United-States
1453,62,Private,Bachelors,Widowed,Tech-support,Unmarried,White,Female,7,United-States
32261,51,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,26,United-States
36591,19,Private,Some-college,Never-married,Protective-serv,Own-child,White,Female,30,United-States
67323,59,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States
32859,22,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,30,United-States
7521,37,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States
74993,43,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States
90799,33,Private,Some-college,Separated,Exec-managerial,Unmarried,White,Female,40,United-States
81410,42,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,45,United-States
80358,58,Self-emp-not-inc,HS-grad,Divorced,Farming-fishing,Unmarried,White,Female,10,United-States
70897,45,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States
22433,25,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
91054,51,Private,10th,Married-civ-spouse,Sales,Husband,White,Male,40,United-States
39242,34,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States
12276,34,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,50,United-States
69051,37,Private,Some-college,Separated,Other-service,Unmarried,White,Female,40,United-States
47566,31,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States
88540,26,Private,11th,Married-civ-spouse,Other-service,Other-relative,White,Male,25,United-States
44326,36,Private,Some-college,Divorced,Sales,Unmarried,White,Female,40,United-States
11362,43,State-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States
22420,22,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States
9725,44,Federal-gov,HS-grad,Never-married,Craft-repair,Own-child,Black,Female,40,United-States
26839,22,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,25,United-States
93531,23,Local-gov,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States
597,30,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,45,United-States
64269,27,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States
20870,46,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,United-States
38526,22,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States
1147,41,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States
56521,35,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States
95600,39,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States
65678,26,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,United-States
89821,40,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,55,United-States
58140,23,State-gov,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Female,40,United-States
35283,44,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States
94157,46,Private,11th,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,40,United-States
53859,71,Federal-gov,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Male,9,United-States
48006,35,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States
59440,31,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,42,United-States
62874,44,Private,HS-grad,Never-married,Other-service,Other-relative,Black,Male,32,United-States
76191,20,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Black,Male,35,United-States
31525,40,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States
67054,24,Private,Bachelors,Never-married,Prof-specialty,Unmarried,White,Female,40,United-States
94396,25,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Own-child,White,Female,50,United-States
29232,25,Private,Bachelors,Never-married,Adm-clerical,Own-child,Black,Male,35,United-States
74749,43,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States
47218,25,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Male,43,United-States
45465,45,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States
78173,37,Private,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Male,25,United-States
97680,19,Private,12th,Never-married,Handlers-cleaners,Own-child,Black,Female,52,United-States
80378,23,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States
3069,19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,10,United-States
72471,35,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States
36808,27,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,60,United-States
43352,51,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States
59118,63,Self-emp-not-inc,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States
55184,21,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States
12595,38,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States
46006,61,Self-emp-not-inc,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,United-States
47800,27,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,Philippines
26935,27,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States
59489,42,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,55,United-States
65718,56,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
50221,37,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
56573,68,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,20,United-States
77153,27,Private,Bachelors,Never-married,Handlers-cleaners,Unmarried,White,Male,35,United-States
89428,21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,30,United-States
72254,59,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,42,United-States
78302,67,Local-gov,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,United-States
78799,38,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States
64018,24,Private,Some-college,Separated,Adm-clerical,Unmarried,White,Female,35,United-States
74928,35,Private,11th,Separated,Transport-moving,Not-in-family,White,Male,90,United-States
41974,31,Private,Some-college,Separated,Tech-support,Unmarried,Black,Female,40,United-States
34900,26,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States
91087,25,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,40,United-States
64332,47,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,2,United-States
37697,33,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States
58923,19,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Female,40,United-States
5992,55,Self-emp-not-inc,HS-grad,Separated,Farming-fishing,Unmarried,White,Female,55,United-States
85702,40,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,35,United-States
93892,51,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States
64885,34,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States
87044,19,Private,HS-grad,Never-married,Tech-support,Own-child,White,Male,40,United-States
28828,39,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
64942,53,Private,Preschool,Married-civ-spouse,Other-service,Husband,White,Male,40,Mexico
89505,50,State-gov,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States
85818,57,Local-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,62,United-States
56956,36,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,United-States
42445,28,Private,11th,Never-married,Other-service,Not-in-family,Black,Female,40,Jamaica
55662,42,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,40,United-States
9400,26,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,40,United-States
96669,43,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,58,United-States
57155,38,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,75,United-States
36896,46,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
46222,34,Private,HS-grad,Separated,Handlers-cleaners,Not-in-family,White,Male,40,United-States
70647,42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States
23125,48,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,36,United-States
86048,35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
63273,55,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,25,United-States
66009,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
79928,35,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,45,United-States
18977,23,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,50,Ireland
36455,18,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,40,United-States
19391,65,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,36,United-States
55140,33,Private,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,Female,40,United-States
91386,33,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States
37347,22,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,40,United-States
33137,24,Private,HS-grad,Never-married,Sales,Unmarried,White,Male,45,United-States
96842,36,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States
33882,49,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Unmarried,White,Male,40,United-States
21220,47,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
82318,40,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States
67309,31,Private,Assoc-voc,Never-married,Farming-fishing,Own-child,White,Male,40,United-States
95379,39,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States
92978,58,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States
87161,26,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States
83277,48,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States
50889,65,Private,Masters,Divorced,Sales,Not-in-family,White,Male,28,United-States
8217,28,Private,Assoc-voc,Never-married,Sales,Not-in-family,White,Male,50,United-States
74805,19,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,26,United-States
68014,40,Local-gov,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States
85572,47,Private,Some-college,Divorced,Sales,Unmarried,White,Female,45,United-States
57740,35,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Other,Male,40,Dominican-Republic
46616,46,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,70,United-States
60510,53,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States
30182,56,Private,5th-6th,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,Trinadad&Tobago
5694,33,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
63607,28,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States
84986,41,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States
28672,46,Local-gov,Some-college,Divorced,Tech-support,Not-in-family,White,Female,40,United-States
70005,59,Local-gov,HS-grad,Widowed,Other-service,Not-in-family,White,Female,19,United-States
56627,53,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,55,United-States
41516,35,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
74103,42,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,United-States
73592,41,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States
83659,37,Private,5th-6th,Married-civ-spouse,Farming-fishing,Husband,White,Male,36,Mexico
38538,32,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States
10428,23,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,30,United-States
9008,50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,47,United-States
9559,20,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States
72004,17,Private,11th,Never-married,Sales,Own-child,White,Female,20,United-States
1258,24,Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,55,United-States
68943,24,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States
44058,28,Private,Bachelors,Never-married,Sales,Own-child,White,Female,40,United-States
19771,43,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States
38846,60,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,55,United-States
85555,32,State-gov,Some-college,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,United-States
45542,42,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States
4806,33,Local-gov,HS-grad,Divorced,Adm-clerical,Own-child,White,Female,40,United-States
65379,24,Private,Some-college,Married-spouse-absent,Adm-clerical,Own-child,Black,Female,45,United-States
95374,30,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States
9163,52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States
76416,33,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States
7754,20,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,40,United-States
39200,36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States
71448,49,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Female,35,United-States
53781,32,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,United-States
60212,26,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female,36,United-States
87092,59,Self-emp-not-inc,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,30,United-States
81470,54,Self-emp-not-inc,10th,Divorced,Other-service,Not-in-family,Black,Female,10,United-States
88029,37,Private,Assoc-voc,Married-spouse-absent,Sales,Unmarried,Black,Female,32,United-States
84064,28,State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States
57099,31,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States
1224,29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Other,Female,40,United-States
53065,20,Private,11th,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States
24374,36,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States
68137,47,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,75,Italy
62089,36,State-gov,Assoc-voc,Married-spouse-absent,Protective-serv,Own-child,White,Female,40,Germany
66531,43,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States
63841,47,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,60,United-States
71147,47,Private,Some-college,Widowed,Transport-moving,Unmarried,White,Female,25,Outlying-US(Guam-USVI-etc)
36737,30,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
64602,21,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,40,United-States
25548,52,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States
98980,57,Private,HS-grad,Widowed,Prof-specialty,Not-in-family,White,Female,57,United-States
93909,19,Private,Some-college,Never-married,Transport-moving,Own-child,White,Male,30,United-States
49117,49,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States
51595,53,Self-emp-not-inc,10th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States
94566,37,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,United-States
340,52,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States
49976,25,Self-emp-inc,Assoc-voc,Never-married,Transport-moving,Unmarried,White,Male,55,United-States
78703,54,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,55,United-States
43198,39,Private,12th,Married-civ-spouse,Transport-moving,Husband,White,Male,70,United-States
97978,60,Federal-gov,Some-college,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States
53748,43,Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States
89461,39,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,Philippines
55875,37,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States
80410,40,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States
89973,19,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,30,United-States
24340,36,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States
25455,30,Private,Some-college,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,45,United-States
85909,28,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,40,United-States
36937,31,Private,12th,Divorced,Transport-moving,Own-child,White,Male,40,United-States
62424,68,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States
78431,29,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States
16311,43,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,43,United-States
33326,51,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,57,United-States
3569,35,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States
94648,48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States
63523,26,Federal-gov,Some-college,Never-married,Adm-clerical,Unmarried,White,Female,15,United-States
29298,33,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States
13565,37,Private,9th,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States
89894,19,Private,HS-grad,Never-married,Sales,Own-child,White,Female,40,United-States
13036,40,Private,Some-college,Separated,Exec-managerial,Not-in-family,Black,Male,40,United-States
7192,43,Private,Some-college,Divorced,Sales,Unmarried,White,Female,55,United-States
89124,80,Self-emp-not-inc,7th-8th,Never-married,Farming-fishing,Unmarried,White,Male,20,United-States
85651,28,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States
97007,26,Self-emp-inc,HS-grad,Never-married,Sales,Own-child,White,Male,50,United-States
76034,35,Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,40,United-States
67730,17,Private,10th,Never-married,Other-service,Own-child,White,Female,10,United-States
